"PL_Effect_Size_lnRktoall_0.01","PL_Effect_Size_Type1_lnRktoall_0.01","PL_Effect_Size_Type2_lnRktoall_0.01","PL_Effect_Size_lnRkto0_0.01","PL_Effect_Size_Type1_lnRkto0_0.01","PL_Effect_Size_Type2_lnRkto0_0.01","PL_Effect_Size_lnRktoall_0.05","PL_Effect_Size_Type1_lnRktoall_0.05","PL_Effect_Size_Type2_lnRktoall_0.05","PL_Effect_Size_lnRkto0_0.05","PL_Effect_Size_Type1_lnRkto0_0.05","PL_Effect_Size_Type2_lnRkto0_0.05","PL_Effect_Size_lnRktoall_0.1","PL_Effect_Size_Type1_lnRktoall_0.1","PL_Effect_Size_Type2_lnRktoall_0.1","PL_Effect_Size_lnRkto0_0.1","PL_Effect_Size_Type1_lnRkto0_0.1","PL_Effect_Size_Type2_lnRkto0_0.1","PL_Effect_Size_lnRktoall_0.5","PL_Effect_Size_Type1_lnRktoall_0.5","PL_Effect_Size_Type2_lnRktoall_0.5","PL_Effect_Size_lnRkto0_0.5","PL_Effect_Size_Type1_lnRkto0_0.5","PL_Effect_Size_Type2_lnRkto0_0.5","PL_Effect_Size_lnR","PL_Effect_Size_Type1_lnR","PL_Effect_Size_Type2_lnR","PL_Effect_Size_hedgesD","PL_Effect_Size_Type1_hedgesD","PL_Effect_Size_Type2_hedgesD","unique_number"
1.95571414915193,"FS","Bagout",2.32856057939731,"FS","Bagout",1.26715170594747,"FS","Bagout",2.32856057939731,"FS","Bagout",0.907851863228291,"FS","Bagout",2.32856057939731,"FS","Bagout",0.292007962398904,"FS","Bagout",2.32856057939731,"FS","Bagout",2.32856057939731,"FS","Bagout",10.6680434095415,"FS","Bagout","64"
1.31838165483476,"SPP","Sup",1.31878847875452,"SPP","Sup",1.31675721807748,"SPP","Sup",1.31878847875452,"SPP","Sup",1.31473307964648,"SPP","Sup",1.31878847875452,"SPP","Sup",1.29879146286207,"SPP","Sup",1.31878847875452,"SPP","Sup",1.31878847875452,"SPP","Sup",1.56429526338588,"SPP","Sup","65"
0.842672852142873,"SPP","Sup",0.842921485787405,"SPP","Sup",0.841679868082981,"SPP","Sup",0.842921485787405,"SPP","Sup",0.840442115242649,"SPP","Sup",0.842921485787405,"SPP","Sup",0.830676979151163,"SPP","Sup",0.842921485787405,"SPP","Sup",0.842921485787405,"SPP","Sup",0.887226661151841,"SPP","Sup","66"
1.21827470560631,"SPP","Sup",1.21886141681969,"SPP","Sup",1.21593417605716,"SPP","Sup",1.21886141681969,"SPP","Sup",1.21302263984585,"SPP","Sup",1.21886141681969,"SPP","Sup",1.19027947719393,"SPP","Sup",1.21886141681969,"SPP","Sup",1.21886141681969,"SPP","Sup",1.14513128151383,"SPP","Sup","67"
0.32797761262979,"SO","Bagout",0.337443582010845,"SO","Bagout",0.29492323370834,"SO","Bagout",0.337443582010845,"SO","Bagout",0.261973715741574,"SO","Bagout",0.337443582010845,"SO","Bagout",0.138556528827196,"SO","Bagout",0.337443582010845,"SO","Bagout",0.337443582010845,"SO","Bagout",0.690710798594556,"SO","Bagout","68"
-0.0103147636992942,"FS","Sup",-0.0104712998672954,"FS","Sup",-0.0097327801226379,"FS","Sup",-0.0104712998672954,"FS","Sup",-0.00909157062719812,"FS","Sup",-0.0104712998672954,"FS","Sup",-0.00595368254163767,"FS","Sup",-0.0104712998672954,"FS","Sup",-0.0104712998672954,"FS","Sup",-0.102118444289093,"FS","Sup","69"
0.0167751242032953,"FS","Sup",0.0169771099386321,"FS","Sup",0.0160130614843276,"FS","Sup",0.0169771099386321,"FS","Sup",0.0151526191834535,"FS","Sup",0.0169771099386321,"FS","Sup",0.0105972206632812,"FS","Sup",0.0169771099386321,"FS","Sup",0.0169771099386321,"FS","Sup",0.263713858295001,"FS","Sup","70"
0.196367103714744,"FS","Sup",0.199264277524267,"FS","Sup",0.185576849514627,"FS","Sup",0.199264277524267,"FS","Sup",0.17365335211444,"FS","Sup",0.199264277524267,"FS","Sup",0.114737677470423,"FS","Sup",0.199264277524267,"FS","Sup",0.199264277524267,"FS","Sup",2.06509491273829,"FS","Sup","71"
0.0960119786239643,"FS","Sup",0.0971851184864516,"FS","Sup",0.0915897863537747,"FS","Sup",0.0971851184864516,"FS","Sup",0.0866040507962396,"FS","Sup",0.0971851184864516,"FS","Sup",0.0603350352107794,"FS","Sup",0.0971851184864516,"FS","Sup",0.0971851184864516,"FS","Sup",1.46116520222728,"FS","Sup","72"
0.0763939196580188,"FS","Sup",0.0777259211073977,"FS","Sup",0.0714933430109409,"FS","Sup",0.0777259211073977,"FS","Sup",0.066186441490573,"FS","Sup",0.0777259211073977,"FS","Sup",0.0415291032733869,"FS","Sup",0.0777259211073977,"FS","Sup",0.0777259211073977,"FS","Sup",0.633598884716653,"FS","Sup","73"
0.0370885721203646,"FS","Sup",0.0375451815527104,"FS","Sup",0.0353680553108752,"FS","Sup",0.0375451815527104,"FS","Sup",0.0334296020131725,"FS","Sup",0.0375451815527104,"FS","Sup",0.0232400264686934,"FS","Sup",0.0375451815527104,"FS","Sup",0.0375451815527104,"FS","Sup",0.54851783838185,"FS","Sup","74"
0.279152278871964,"SO","Sup",0.282829902204201,"SO","Sup",0.26535622513607,"SO","Sup",0.282829902204201,"SO","Sup",0.249926584110239,"SO","Sup",0.282829902204201,"SO","Sup",0.170684620831408,"SO","Sup",0.282829902204201,"SO","Sup",0.282829902204201,"SO","Sup",0.519330191654236,"SO","Sup","75"
1.13326142408128,"FS","Sup",1.20290840827015,"FS","Sup",0.92458953468885,"FS","Sup",1.20290840827015,"FS","Sup",0.755589433897705,"FS","Sup",1.20290840827015,"FS","Sup",0.313851790185166,"FS","Sup",1.20290840827015,"FS","Sup",1.20290840827015,"FS","Sup",3.15790277923519,"FS","Sup","76"
0.0679112056162103,"FS","Sup",0.0716559889064352,"FS","Sup",0.0561702714670544,"FS","Sup",0.0716559889064352,"FS","Sup",0.0461893824693747,"FS","Sup",0.0716559889064352,"FS","Sup",0.0190761470608137,"FS","Sup",0.0716559889064352,"FS","Sup",0.0716559889064352,"FS","Sup",0.253746190158352,"FS","Sup","77"
